Y,Scale,ID,IMAGE,X
880,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,1227
830,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,1479
758,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,1599
695,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,1652
631,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,1682
559,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,1627
487,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,1516
435,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,1385
388,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,1229
587,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,914
720,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,896
777,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,1080
626,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,617
659,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,652
685,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,648
755,0.001608,2 ,F_ST03_06.22.11_LT_04.tif,575
