IMAGE,X,ID,Scale,Y
F_ST06C_06.22.11_LT_20.tif,1178,33 ,0.001319,892
F_ST06C_06.22.11_LT_20.tif,1484,33 ,0.001319,851
F_ST06C_06.22.11_LT_20.tif,1602,33 ,0.001319,769
F_ST06C_06.22.11_LT_20.tif,1646,33 ,0.001319,706
F_ST06C_06.22.11_LT_20.tif,1680,33 ,0.001319,642
F_ST06C_06.22.11_LT_20.tif,1608,33 ,0.001319,563
F_ST06C_06.22.11_LT_20.tif,1495,33 ,0.001319,476
F_ST06C_06.22.11_LT_20.tif,1345,33 ,0.001319,402
F_ST06C_06.22.11_LT_20.tif,1178,33 ,0.001319,339
F_ST06C_06.22.11_LT_20.tif,831,33 ,0.001319,547
F_ST06C_06.22.11_LT_20.tif,808,33 ,0.001319,688
F_ST06C_06.22.11_LT_20.tif,1041,33 ,0.001319,769
F_ST06C_06.22.11_LT_20.tif,529,33 ,0.001319,576
F_ST06C_06.22.11_LT_20.tif,572,33 ,0.001319,608
F_ST06C_06.22.11_LT_20.tif,570,33 ,0.001319,642
F_ST06C_06.22.11_LT_20.tif,474,33 ,0.001319,712
