Scale,IMAGE,ID,X,Y
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,1263,1004
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,1520,954
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,1630,882
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,1680,819
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,1706,754
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,1648,682
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,1539,610
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,1390,544
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,1237,502
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,919,701
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,909,843
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,1128,900
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,591,749
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,622,777
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,621,803
0.001577,F_ST04_06.22.11_LT_10.tif,13 ,554,879
