ID,X,Y,Scale,IMAGE
36 ,1149,858,0.001471,F_ST06C_06.24.11_LT_01.tif
36 ,1446,807,0.001471,F_ST06C_06.24.11_LT_01.tif
36 ,1585,722,0.001471,F_ST06C_06.24.11_LT_01.tif
36 ,1643,653,0.001471,F_ST06C_06.24.11_LT_01.tif
36 ,1671,592,0.001471,F_ST06C_06.24.11_LT_01.tif
36 ,1598,519,0.001471,F_ST06C_06.24.11_LT_01.tif
36 ,1454,443,0.001471,F_ST06C_06.24.11_LT_01.tif
36 ,1299,377,0.001471,F_ST06C_06.24.11_LT_01.tif
36 ,1134,323,0.001471,F_ST06C_06.24.11_LT_01.tif
36 ,830,539,0.001471,F_ST06C_06.24.11_LT_01.tif
36 ,773,683,0.001471,F_ST06C_06.24.11_LT_01.tif
36 ,1002,748,0.001471,F_ST06C_06.24.11_LT_01.tif
36 ,505,590,0.001471,F_ST06C_06.24.11_LT_01.tif
36 ,540,618,0.001471,F_ST06C_06.24.11_LT_01.tif
36 ,534,650,0.001471,F_ST06C_06.24.11_LT_01.tif
36 ,444,729,0.001471,F_ST06C_06.24.11_LT_01.tif
