IMAGE,X,ID,Scale,Y
F_ST06C_09.21.11_LT_01.tif,1190,54 ,0.001484,921
F_ST06C_09.21.11_LT_01.tif,1430,54 ,0.001484,898
F_ST06C_09.21.11_LT_01.tif,1589,54 ,0.001484,824
F_ST06C_09.21.11_LT_01.tif,1653,54 ,0.001484,763
F_ST06C_09.21.11_LT_01.tif,1684,54 ,0.001484,705
F_ST06C_09.21.11_LT_01.tif,1626,54 ,0.001484,630
F_ST06C_09.21.11_LT_01.tif,1503,54 ,0.001484,555
F_ST06C_09.21.11_LT_01.tif,1345,54 ,0.001484,491
F_ST06C_09.21.11_LT_01.tif,1184,54 ,0.001484,432
F_ST06C_09.21.11_LT_01.tif,896,54 ,0.001484,614
F_ST06C_09.21.11_LT_01.tif,866,54 ,0.001484,748
F_ST06C_09.21.11_LT_01.tif,1089,54 ,0.001484,823
F_ST06C_09.21.11_LT_01.tif,621,54 ,0.001484,640
F_ST06C_09.21.11_LT_01.tif,668,54 ,0.001484,678
F_ST06C_09.21.11_LT_01.tif,665,54 ,0.001484,703
F_ST06C_09.21.11_LT_01.tif,553,54 ,0.001484,763
