IMAGE,X,Scale,ID,Y
F_ST06C_06.22.11_LT_01.tif,1189,0.00155,24 ,1003
F_ST06C_06.22.11_LT_01.tif,1471,0.00155,24 ,934
F_ST06C_06.22.11_LT_01.tif,1618,0.00155,24 ,839
F_ST06C_06.22.11_LT_01.tif,1669,0.00155,24 ,773
F_ST06C_06.22.11_LT_01.tif,1700,0.00155,24 ,710
F_ST06C_06.22.11_LT_01.tif,1625,0.00155,24 ,648
F_ST06C_06.22.11_LT_01.tif,1498,0.00155,24 ,584
F_ST06C_06.22.11_LT_01.tif,1344,0.00155,24 ,523
F_ST06C_06.22.11_LT_01.tif,1179,0.00155,24 ,472
F_ST06C_06.22.11_LT_01.tif,801,0.00155,24 ,708
F_ST06C_06.22.11_LT_01.tif,797,0.00155,24 ,851
F_ST06C_06.22.11_LT_01.tif,1010,0.00155,24 ,901
F_ST06C_06.22.11_LT_01.tif,493,0.00155,24 ,758
F_ST06C_06.22.11_LT_01.tif,535,0.00155,24 ,790
F_ST06C_06.22.11_LT_01.tif,528,0.00155,24 ,818
F_ST06C_06.22.11_LT_01.tif,473,0.00155,24 ,903
