IMAGE,X,Scale,ID,Y
F_ST09_07.22.11_LT_02.tif,1862,0.001196,67 ,1361
F_ST09_07.22.11_LT_02.tif,2265,0.001196,67 ,1291
F_ST09_07.22.11_LT_02.tif,2407,0.001196,67 ,1190
F_ST09_07.22.11_LT_02.tif,2473,0.001196,67 ,1114
F_ST09_07.22.11_LT_02.tif,2516,0.001196,67 ,1032
F_ST09_07.22.11_LT_02.tif,2430,0.001196,67 ,941
F_ST09_07.22.11_LT_02.tif,2298,0.001196,67 ,867
F_ST09_07.22.11_LT_02.tif,2088,0.001196,67 ,785
F_ST09_07.22.11_LT_02.tif,1883,0.001196,67 ,719
F_ST09_07.22.11_LT_02.tif,1432,0.001196,67 ,962
F_ST09_07.22.11_LT_02.tif,1398,0.001196,67 ,1130
F_ST09_07.22.11_LT_02.tif,1659,0.001196,67 ,1217
F_ST09_07.22.11_LT_02.tif,1032,0.001196,67 ,995
F_ST09_07.22.11_LT_02.tif,1069,0.001196,67 ,1036
F_ST09_07.22.11_LT_02.tif,1064,0.001196,67 ,1063
F_ST09_07.22.11_LT_02.tif,970,0.001196,67 ,1157
