Scale,X,ID,IMAGE,Y
0.001562,1158,0 ,F_ST03_06.22.11_LT_01.tif,816
0.001562,1463,0 ,F_ST03_06.22.11_LT_01.tif,753
0.001562,1583,0 ,F_ST03_06.22.11_LT_01.tif,669
0.001562,1636,0 ,F_ST03_06.22.11_LT_01.tif,606
0.001562,1655,0 ,F_ST03_06.22.11_LT_01.tif,544
0.001562,1593,0 ,F_ST03_06.22.11_LT_01.tif,474
0.001562,1470,0 ,F_ST03_06.22.11_LT_01.tif,403
0.001562,1299,0 ,F_ST03_06.22.11_LT_01.tif,344
0.001562,1144,0 ,F_ST03_06.22.11_LT_01.tif,303
0.001562,848,0 ,F_ST03_06.22.11_LT_01.tif,517
0.001562,807,0 ,F_ST03_06.22.11_LT_01.tif,665
0.001562,1035,0 ,F_ST03_06.22.11_LT_01.tif,722
0.001562,504,0 ,F_ST03_06.22.11_LT_01.tif,573
0.001562,545,0 ,F_ST03_06.22.11_LT_01.tif,602
0.001562,541,0 ,F_ST03_06.22.11_LT_01.tif,631
0.001562,470,0 ,F_ST03_06.22.11_LT_01.tif,708
