IMAGE,Y,ID,X,Scale
F_ST11a_06.22.11_LT_H_16.tif,999,79 ,1181,0.001543
F_ST11a_06.22.11_LT_H_16.tif,928,79 ,1446,0.001543
F_ST11a_06.22.11_LT_H_16.tif,842,79 ,1576,0.001543
F_ST11a_06.22.11_LT_H_16.tif,772,79 ,1628,0.001543
F_ST11a_06.22.11_LT_H_16.tif,705,79 ,1655,0.001543
F_ST11a_06.22.11_LT_H_16.tif,639,79 ,1587,0.001543
F_ST11a_06.22.11_LT_H_16.tif,575,79 ,1467,0.001543
F_ST11a_06.22.11_LT_H_16.tif,518,79 ,1325,0.001543
F_ST11a_06.22.11_LT_H_16.tif,475,79 ,1151,0.001543
F_ST11a_06.22.11_LT_H_16.tif,710,79 ,812,0.001543
F_ST11a_06.22.11_LT_H_16.tif,857,79 ,798,0.001543
F_ST11a_06.22.11_LT_H_16.tif,902,79 ,1028,0.001543
F_ST11a_06.22.11_LT_H_16.tif,776,79 ,503,0.001543
F_ST11a_06.22.11_LT_H_16.tif,803,79 ,540,0.001543
F_ST11a_06.22.11_LT_H_16.tif,830,79 ,539,0.001543
F_ST11a_06.22.11_LT_H_16.tif,915,79 ,459,0.001543
