ID,Y,X,IMAGE,Scale
68 ,1293,1776,F_ST09_07.22.11_LT_04.tif,0.001193
68 ,1258,2167,F_ST09_07.22.11_LT_04.tif,0.001193
68 ,1184,2296,F_ST09_07.22.11_LT_04.tif,0.001193
68 ,1102,2368,F_ST09_07.22.11_LT_04.tif,0.001193
68 ,1028,2411,F_ST09_07.22.11_LT_04.tif,0.001193
68 ,923,2339,F_ST09_07.22.11_LT_04.tif,0.001193
68 ,816,2224,F_ST09_07.22.11_LT_04.tif,0.001193
68 ,701,2041,F_ST09_07.22.11_LT_04.tif,0.001193
68 ,614,1844,F_ST09_07.22.11_LT_04.tif,0.001193
68 ,843,1338,F_ST09_07.22.11_LT_04.tif,0.001193
68 ,1026,1315,F_ST09_07.22.11_LT_04.tif,0.001193
68 ,1136,1564,F_ST09_07.22.11_LT_04.tif,0.001193
68 ,851,918,F_ST09_07.22.11_LT_04.tif,0.001193
68 ,896,986,F_ST09_07.22.11_LT_04.tif,0.001193
68 ,929,980,F_ST09_07.22.11_LT_04.tif,0.001193
68 ,1017,873,F_ST09_07.22.11_LT_04.tif,0.001193
