X,Y
1186,432
1219,436
948,440
913,443
1149,443
1281,445
822,457
798,460
1414,470
1052,472
703,479
1466,491
1325,497
1268,498
1379,497
887,499
1408,500
1201,501
1172,504
1499,508
835,508
1100,511
780,517
1523,524
691,533
650,540
249,544
1005,545
210,547
170,551
583,550
439,551
121,557
99,558
497,559
69,564
471,568
1113,569
1490,570
1072,570
1314,571
1375,570
1209,574
1292,572
1170,574
1269,574
1584,574
864,576
1527,578
184,585
152,589
1434,590
797,599
51,602
1651,611
775,614
147,622
934,626
809,627
881,631
66,631
1062,633
1648,636
634,636
1294,637
1352,636
1504,637
1126,638
1154,638
1433,639
1468,638
1326,639
1532,640
537,647
284,649
165,671
678,672
647,676
712,675
64,676
777,676
577,677
107,679
542,679
847,681
204,680
1668,681
831,683
874,685
930,688
999,688
963,689
1111,691
520,693
1138,694
1054,694
1222,697
1535,696
1564,696
135,698
1166,698
1438,698
262,700
328,700
1319,700
1375,700
391,703
1678,704
149,720
300,720
567,721
602,724
321,726
635,730
674,735
378,742
206,742
278,744
908,746
935,745
305,751
408,749
998,749
1073,752
1114,756
1143,755
434,757
1166,759
1305,761
1342,765
1628,767
1397,770
1575,771
492,772
1552,772
250,776
1500,776
514,780
555,791
1583,795
321,800
467,802
603,802
998,804
1054,810
1099,815
373,816
712,820
1139,822
1164,822
1541,822
1191,825
406,826
544,828
1234,828
781,829
806,835
836,839
1509,840
1337,843
579,844
1415,844
463,847
1496,849
900,851
871,850
923,856
622,860
948,864
979,869
1014,870
647,871
1420,876
1083,885
688,889
1128,893
653,899
722,901
608,902
1193,902
1361,908
1403,913
1305,925
808,929
1354,931
1329,932
1376,933
840,934
1413,937
866,938
935,948
1262,947
957,958
800,960
982,961
1192,964
1044,965
1170,966
845,969
1134,971
925,983
1071,985
948,987
1097,990
987,993
1044,994
