X,Y
1046,226
951,227
1166,249
743,259
1087,261
1025,266
1022,266
1060,267
615,277
930,278
1290,292
1318,291
1452,293
1100,302
1480,308
348,312
1035,329
953,338
1060,341
488,343
1542,347
236,355
202,359
1126,358
166,364
1388,367
1440,367
1466,373
1497,375
1538,383
286,388
801,389
1592,401
275,407
1002,412
970,413
1042,415
318,416
563,422
1184,425
346,426
1424,430
1281,431
1510,439
1580,445
1623,445
698,446
1543,446
562,448
751,450
859,459
93,463
312,465
532,466
956,466
365,469
1043,471
1007,473
416,475
470,481
1333,487
118,490
608,495
1484,495
147,496
1532,498
334,500
1556,503
1618,507
1643,509
666,509
191,510
276,514
445,523
1035,531
828,533
1147,539
1118,541
525,545
1619,550
1275,555
344,559
1343,561
1378,562
1419,564
1455,566
485,570
1498,570
950,579
1584,579
990,580
1028,588
1097,599
1126,603
1151,606
1181,611
1530,615
1221,616
1251,619
1506,629
1438,635
1414,636
956,640
1463,649
1033,659
606,664
1094,669
1125,673
1377,687
1191,688
1215,692
1302,699
872,719
1293,724
956,730
1066,742
1129,743
1079,743
1238,744
1100,746
1159,746
1039,770
1072,769
1098,771
994,790
1019,803
