X,Y
1160,481
1403,493
1356,501
1467,542
638,560
364,560
322,565
293,567
246,572
1034,574
465,577
550,579
160,581
517,584
448,602
1218,606
190,612
1599,613
1484,621
1515,625
811,630
785,634
849,645
293,661
316,669
544,668
1359,673
1458,679
1514,682
124,685
610,688
1639,693
746,694
546,694
1595,694
572,696
799,699
1473,702
278,710
386,720
453,723
510,723
1195,724
157,728
310,729
581,737
324,740
628,744
203,746
352,747
234,752
377,753
1649,753
261,759
405,760
311,764
756,765
177,767
430,768
984,771
829,776
850,778
465,779
1066,781
486,781
1124,787
1148,788
1643,789
302,798
574,807
1446,815
603,816
982,820
660,826
1597,826
1157,848
842,860
868,864
1254,864
919,875
1523,875
1310,878
1411,882
1007,888
1493,893
1468,899
1150,917
1265,941
1301,955
1106,982
826,984
1147,994
920,1002
891,1002
