X,Y
1182,437
1243,462
1281,463
1173,466
1183,466
1340,466
1208,470
1362,474
1058,477
1402,481
1025,484
1271,492
941,494
1156,500
1473,500
1132,502
861,509
1353,509
1107,510
1383,512
838,514
1332,514
1287,515
810,517
1044,518
1240,520
785,523
1004,526
758,529
975,531
950,533
1552,537
1158,540
925,541
679,547
635,553
828,559
1112,561
601,561
1089,566
1588,566
764,568
1468,568
570,570
1065,570
1421,572
531,574
1380,575
1518,575
1338,576
1259,578
1304,577
1554,577
1215,578
1036,579
1163,579
1185,579
481,584
704,585
1609,586
1011,589
448,591
657,595
407,597
539,602
645,602
364,605
337,612
491,613
315,614
580,615
456,621
935,620
273,624
1640,624
907,625
406,628
1603,632
372,633
1522,633
1574,633
212,635
861,638
350,638
1174,639
830,641
453,647
312,650
166,650
282,650
425,654
784,655
752,657
1573,656
230,660
724,661
356,665
199,666
687,668
596,670
662,673
281,678
517,679
542,678
1193,684
1423,682
1463,682
235,683
1270,683
1362,685
1662,684
821,686
1162,686
1313,686
486,687
925,687
1005,688
458,689
1042,689
1093,689
1122,689
746,691
706,694
882,704
657,705
270,720
1306,735
1267,740
1456,743
1356,743
1567,743
1581,744
1411,745
1607,749
323,750
338,756
1594,760
540,762
572,767
1005,774
465,774
600,775
1033,776
1193,784
1109,783
410,784
1165,785
1129,786
652,787
1242,789
1245,790
1305,792
688,792
1274,793
1325,798
1350,798
713,799
1422,801
454,800
1475,804
762,805
795,808
817,811
846,810
1499,814
898,816
931,817
658,819
968,821
685,827
1474,828
565,833
1075,833
1140,839
597,842
1178,845
1216,846
635,854
1254,854
1300,855
1397,855
674,861
803,865
1348,876
740,884
927,891
1294,897
980,900
1129,902
1020,902
1160,902
1086,903
1268,903
1066,908
1227,916
1166,925
1138,927
1091,934
990,935
1018,938
