X,Y
1188,474
1218,474
1166,475
978,497
1138,501
909,510
1319,524
1430,530
997,534
1191,534
796,538
1144,545
1083,565
1056,573
663,577
1031,588
1580,596
1020,597
1150,613
951,613
1120,614
490,620
441,633
876,642
386,646
575,648
863,650
542,656
1544,657
1361,657
1629,660
1603,661
1406,662
437,665
491,665
836,670
1085,673
1124,675
1048,678
929,680
872,683
975,683
312,695
150,699
419,705
703,705
1486,719
220,721
1183,723
1199,724
1579,723
1652,723
1262,726
889,736
152,738
464,744
678,746
715,746
582,747
433,749
407,753
333,754
362,756
305,756
146,766
1635,766
572,775
1337,786
1458,788
1048,787
1180,789
211,796
356,798
490,798
603,798
425,798
576,798
1599,800
626,803
740,804
717,805
863,812
365,822
440,824
151,826
177,830
905,831
920,832
1558,835
359,843
1006,844
287,846
328,851
1147,851
600,857
1389,858
1422,862
461,862
1452,863
1481,863
719,871
1505,870
745,873
768,877
375,879
540,880
810,882
903,887
402,894
597,898
1446,902
1436,907
1470,912
1225,919
559,934
1361,938
737,941
585,941
775,953
902,977
703,977
1131,983
1021,985
1217,993
791,996
1144,1018
973,1023
1024,1024
