X,Y
1130,426
999,433
1176,450
1419,468
1072,476
1050,479
1020,481
963,489
891,498
1261,498
857,500
1344,500
1200,502
1399,506
1132,508
1453,512
1051,529
281,551
474,551
1025,552
247,555
916,562
168,565
1106,567
1190,570
1133,571
1338,571
1392,571
1256,573
1526,578
1553,585
1599,584
244,595
792,606
78,609
863,615
250,616
909,620
495,625
605,628
1033,629
520,632
1084,634
1132,638
1326,640
1221,643
1246,642
1351,646
151,648
1640,647
1564,648
1535,650
722,661
521,663
699,665
652,665
818,671
332,675
872,676
935,681
988,684
384,684
1078,686
1140,691
134,692
464,694
1189,693
269,697
505,699
168,702
93,705
1520,712
133,717
387,726
674,726
249,728
701,728
295,731
412,732
866,734
955,741
1656,740
445,743
769,744
352,747
1083,749
265,751
1110,751
474,752
1141,753
1164,756
504,763
1195,763
1264,767
1334,770
536,773
302,777
1492,777
566,782
468,788
1598,789
599,790
953,794
622,798
995,799
1046,806
511,808
1556,818
716,818
1149,818
800,829
825,835
1252,836
852,838
489,845
1312,845
1502,850
1412,854
948,855
996,865
1476,864
1082,881
1139,891
1164,891
755,906
1249,908
795,916
1361,917
667,917
1333,921
822,924
868,935
1286,939
901,945
944,950
973,955
1048,958
1102,958
1020,958
1163,971
1133,978
924,982
983,990
