X,Y
1190,329
1042,346
1132,360
1439,367
1464,369
1311,372
1288,373
1368,373
1400,375
1202,384
1549,384
1158,394
821,399
1599,416
1499,425
1549,429
1440,432
1074,432
1375,438
1316,441
1257,447
1231,448
1186,453
1152,456
1659,477
1614,483
1589,484
1559,486
1513,489
908,497
1412,497
547,507
1238,516
1199,517
879,518
1113,521
1092,522
1043,524
1007,528
1646,537
1560,542
1526,545
1690,543
1402,552
1426,553
1362,558
1292,560
1205,564
448,564
1234,566
1125,567
403,574
987,579
959,580
630,587
1663,588
523,598
684,604
1581,604
380,606
473,606
1531,609
1544,608
1503,610
1642,609
1522,610
1483,613
660,612
1426,613
1327,618
1373,617
413,620
1215,624
1262,624
1113,629
1161,630
1054,634
1615,634
162,637
409,637
952,640
1020,638
597,643
654,647
327,648
625,649
305,652
519,653
677,653
1591,653
362,655
476,655
901,655
155,665
572,673
1325,678
1530,678
1349,679
1476,680
439,681
1016,683
1208,681
1296,682
1554,681
1080,684
210,684
1395,686
1419,687
299,694
539,699
338,700
1511,706
407,707
598,708
227,710
622,712
168,714
365,713
303,718
474,719
1484,720
143,720
708,722
545,724
1114,726
327,729
1148,736
1058,738
603,746
1324,747
1424,747
450,748
627,750
1282,750
484,762
507,761
673,766
741,782
790,793
1282,809
730,815
1137,816
1254,815
844,840
876,844
943,852
