X,Y
1111,401
1035,402
1158,403
1133,409
1312,409
1280,418
1328,432
1091,433
1353,441
1022,444
1056,443
980,447
953,448
902,455
560,457
1392,457
1248,461
486,464
1180,465
1117,467
410,471
790,470
1457,473
1487,473
1085,475
729,476
679,479
656,484
278,485
215,492
1027,491
617,493
1484,496
165,499
983,503
380,509
930,510
491,511
1085,517
323,518
460,520
1126,520
1501,520
868,526
190,528
1165,527
214,529
1208,528
1396,531
1260,532
144,534
1335,535
332,540
1482,541
121,541
54,542
820,549
764,555
729,560
696,564
848,565
879,568
649,576
1064,578
1084,579
412,579
1594,579
1040,580
475,581
554,581
1568,582
1121,585
1290,587
1234,588
340,589
55,592
1413,594
191,600
217,601
608,603
672,604
712,605
92,606
776,608
730,610
823,615
533,616
1596,617
126,619
869,623
363,626
922,625
385,627
962,628
425,631
192,632
1060,634
502,636
86,637
1112,638
476,638
321,639
129,643
1206,643
551,645
1316,646
594,649
1365,649
1466,651
354,651
1420,651
1498,652
166,654
633,655
1586,658
669,663
691,665
713,669
289,672
212,673
758,674
346,675
850,677
884,676
906,677
949,678
239,681
820,681
973,683
393,687
1604,686
1023,688
1146,702
1199,703
310,705
1582,707
1276,712
343,715
1387,716
1413,719
486,719
1353,719
1482,721
630,722
951,725
1557,724
646,726
673,729
517,732
380,734
696,735
728,738
1034,739
1066,741
436,745
772,745
356,750
1112,750
459,752
807,754
1137,755
849,757
1171,761
611,769
1499,768
508,769
898,771
1246,772
1270,774
934,778
628,778
549,783
1407,784
1301,784
1365,784
1450,785
988,791
699,802
609,807
1072,807
1393,816
1131,818
669,827
1196,827
1343,832
1234,834
859,845
883,850
1271,852
742,855
786,866
1226,868
1078,872
1191,875
815,876
1152,884
895,886
1126,886
993,900
