IMAGE,X,ID,Y,Scale
F_ST04_06.22.11_LT_13.tif,1216,15 ,1018,0.001582
F_ST04_06.22.11_LT_13.tif,1460,15 ,975,0.001582
F_ST04_06.22.11_LT_13.tif,1574,15 ,908,0.001582
F_ST04_06.22.11_LT_13.tif,1629,15 ,846,0.001582
F_ST04_06.22.11_LT_13.tif,1649,15 ,786,0.001582
F_ST04_06.22.11_LT_13.tif,1593,15 ,718,0.001582
F_ST04_06.22.11_LT_13.tif,1476,15 ,642,0.001582
F_ST04_06.22.11_LT_13.tif,1365,15 ,596,0.001582
F_ST04_06.22.11_LT_13.tif,1213,15 ,552,0.001582
F_ST04_06.22.11_LT_13.tif,925,15 ,734,0.001582
F_ST04_06.22.11_LT_13.tif,893,15 ,860,0.001582
F_ST04_06.22.11_LT_13.tif,1086,15 ,920,0.001582
F_ST04_06.22.11_LT_13.tif,635,15 ,765,0.001582
F_ST04_06.22.11_LT_13.tif,658,15 ,790,0.001582
F_ST04_06.22.11_LT_13.tif,653,15 ,817,0.001582
F_ST04_06.22.11_LT_13.tif,594,15 ,884,0.001582
