ID,X,Scale,IMAGE,Y
10 ,1186,0.001626,F_ST04_06.22.11_LT_04.tif,964
10 ,1452,0.001626,F_ST04_06.22.11_LT_04.tif,927
10 ,1555,0.001626,F_ST04_06.22.11_LT_04.tif,871
10 ,1613,0.001626,F_ST04_06.22.11_LT_04.tif,815
10 ,1644,0.001626,F_ST04_06.22.11_LT_04.tif,765
10 ,1588,0.001626,F_ST04_06.22.11_LT_04.tif,697
10 ,1483,0.001626,F_ST04_06.22.11_LT_04.tif,620
10 ,1334,0.001626,F_ST04_06.22.11_LT_04.tif,537
10 ,1199,0.001626,F_ST04_06.22.11_LT_04.tif,484
10 ,881,0.001626,F_ST04_06.22.11_LT_04.tif,654
10 ,851,0.001626,F_ST04_06.22.11_LT_04.tif,782
10 ,1044,0.001626,F_ST04_06.22.11_LT_04.tif,855
10 ,591,0.001626,F_ST04_06.22.11_LT_04.tif,673
10 ,621,0.001626,F_ST04_06.22.11_LT_04.tif,702
10 ,614,0.001626,F_ST04_06.22.11_LT_04.tif,730
10 ,533,0.001626,F_ST04_06.22.11_LT_04.tif,793
