X,IMAGE,ID,Scale,Y
1165,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,868
1419,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,808
1551,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,728
1604,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,664
1629,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,598
1558,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,520
1446,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,457
1294,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,399
1128,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,348
773,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,570
774,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,718
1008,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,772
464,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,634
507,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,658
504,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,687
423,F_ST09_06.22.11_LT_11.tif,59 ,0.001506,767
