Scale,X,ID,IMAGE,Y
0.00161,1160,3 ,F_ST03_06.22.11_LT_05.tif,957
0.00161,1434,3 ,F_ST03_06.22.11_LT_05.tif,898
0.00161,1548,3 ,F_ST03_06.22.11_LT_05.tif,822
0.00161,1608,3 ,F_ST03_06.22.11_LT_05.tif,750
0.00161,1633,3 ,F_ST03_06.22.11_LT_05.tif,687
0.00161,1559,3 ,F_ST03_06.22.11_LT_05.tif,610
0.00161,1432,3 ,F_ST03_06.22.11_LT_05.tif,549
0.00161,1286,3 ,F_ST03_06.22.11_LT_05.tif,498
0.00161,1145,3 ,F_ST03_06.22.11_LT_05.tif,464
0.00161,876,3 ,F_ST03_06.22.11_LT_05.tif,669
0.00161,860,3 ,F_ST03_06.22.11_LT_05.tif,807
0.00161,1061,3 ,F_ST03_06.22.11_LT_05.tif,862
0.00161,570,3 ,F_ST03_06.22.11_LT_05.tif,723
0.00161,609,3 ,F_ST03_06.22.11_LT_05.tif,750
0.00161,609,3 ,F_ST03_06.22.11_LT_05.tif,782
0.00161,539,3 ,F_ST03_06.22.11_LT_05.tif,851
