Scale,X,IMAGE,ID,Y
0.001408,1181,F_ST04_06.22.11_LT_09.tif,12 ,922
0.001408,1459,F_ST04_06.22.11_LT_09.tif,12 ,880
0.001408,1593,F_ST04_06.22.11_LT_09.tif,12 ,815
0.001408,1664,F_ST04_06.22.11_LT_09.tif,12 ,751
0.001408,1696,F_ST04_06.22.11_LT_09.tif,12 ,673
0.001408,1632,F_ST04_06.22.11_LT_09.tif,12 ,605
0.001408,1505,F_ST04_06.22.11_LT_09.tif,12 ,536
0.001408,1358,F_ST04_06.22.11_LT_09.tif,12 ,479
0.001408,1177,F_ST04_06.22.11_LT_09.tif,12 ,428
0.001408,848,F_ST04_06.22.11_LT_09.tif,12 ,621
0.001408,837,F_ST04_06.22.11_LT_09.tif,12 ,758
0.001408,1042,F_ST04_06.22.11_LT_09.tif,12 ,820
0.001408,563,F_ST04_06.22.11_LT_09.tif,12 ,662
0.001408,581,F_ST04_06.22.11_LT_09.tif,12 ,686
0.001408,574,F_ST04_06.22.11_LT_09.tif,12 ,718
0.001408,498,F_ST04_06.22.11_LT_09.tif,12 ,793
